Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount ,Order Total,Shipping Cost,Total
5015-1,2014-04-01,Anne Pryor,"1-2/299 Sussex St,Sydney",Sydney,NSW,Corporate,Aanya Zhang,Medium,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Wrap Bag,Express Air,2014-04-02,156.50,300.97,144.47,3,1602,10%,144.41,1513.83,7.18,1534
5016-1,2013-02-11,Alex Russell,"99 Lygon Street,East Brunswick",Melbourne,VIC,Consumer,Connor Betts,Low,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Wrap Bag,Regular Air,2013-02-12,2.39,4.26,1.87,18,124,6%,3.71,119.83,1.20,121
5018-1,2013-12-29,Lena Creighton,"127 Liverpool St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,Low,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Wrap Bag,Express Air,2013-12-22,54.29,90.48,36.19,1,1030,2%,30.82,1762.54,19.99,1741
5019-1,2013-11-18,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,Artisan 487 Labels,Office Supplies,Wrap Bag,Regular Air,2013-11-20,2.29,3.69,1.40,34,206,2%,6.16,193.54,0.50,199
5019-1,2013-02-13,Susan Vittorini,"221 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Cando CCalored Accent Highlighters,Office Supplies,Small Box,Regular Air,2013-02-15,3.75,7.08,3.33,33,726,8%,58.07,667.75,2.35,694
5019-1,2013-02-13,Susan Vittorini,"3 Carrington Road ,Box Hill",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Cando S750 Color Inkjet Printer,Office Supplies,Wrap Bag,Regular Air,2013-02-15,75.00,120.97,45.97,27,726,8%,58.07,657.75,26.30,694
5020-1,2015-05-11,Bill Stewart,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Low,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",Office Supplies,Small Box,Express Air,2015-05-13,0.90,2.10,1.20,49,36,5%,1.07,34.63,0.70,35
5021-1,2015-05-18,Brian DeCherney,"523 King St,Newtown",Sydney,NSW,Corporate,Aanya Zhang,High,TechSavi Access Keyboard,Technology,Medium Box,Regular Air,2015-05-25,10.07,15.98,5.91,24,139,1%,5.35,132.97,4.00,139
5021-1,2014-06-23,Frank Hawley,"797 Botany Rd,Rosebery",Sydney,NSW,Small Business,Phoebe Gour,Medium,Artisan 479 Labels,Office Supplies,Wrap Bag,Express Air,2014-06-23,1.59,2.61,1.02,22,24,7%,1.51,23.63,0.50,23
5021-1,2013-10-20,Cindy Stewart,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Home Office,Leighton Forrest,Critical,Smiths Pushpins,Office Supplies,Small Pack,Regular Air,2013-10-20,0.94,1.88,0.94,24,26,6%,0.16,23.63,0.79,26
5022-1,2013-02-22,Rick Han,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Wrap Bag,Regular Air,2013-02-23,156.50,300.97,144.47,49,724,7%,50.67,673.17,7.18,693
5023-1,2013-02-17,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Small Business,Yvette Biti,Low,12 Colored Short Pencils,Furniture,Small Pack,Regular Air,2013-02-22,1.09,2.60,1.51,8,122,0%,12.22,109.98,2.40,112
5023-1,2013-02-17,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Home Office,Yvette Biti,Medium,12 Colored Short Pencils,Furniture,Large Box,Regular Air,2013-02-22,1.09,2.60,1.51,21,122,5%,12.22,109.98,2.40,112
5023-1,2013-02-17,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Home Office,Yvette Biti,High,12 Colored Short Pencils,Technology,Small Box,Regular Air,2013-02-22,1.09,2.60,1.51,37,122,10%,12.22,109.98,2.40,112
5023-1,2013-02-17,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Corporate,Yvette Biti,High,1726 Digital Answering Machine,Office Supplies,Small Box,Express Air,2013-02-22,8.82,20.99,12.17,24,122,7%,12.22,109.98,4.81,112
5023-1,2014-06-04,Frank Merwin,"24 Addison Rd,Marrickville",Sydney,NSW,Corporate,Radhya Staples,Critical,1726 Digital Answering Machine,Office Supplies,Wrap Bag,Regular Air,2014-06-05,8.82,20.99,12.17,29,122,7%,12.22,109.98,4.81,112
5024-1,2015-05-22,Thomas Boland,"3/219 Canley Vale Road,Canley Heights",Sydney,NSW,Corporate,Mihael Khan,Medium,"Angle-D Binders with Locking Rings, Label Holders",Office Supplies,Small Box,Express Air,2015-05-24,4.53,7.30,2.77,14,285,2%,2.95,265.55,7.72,275
5024-1,2014-10-13,Bart Watters,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Corporate,Nicholas Fernandes,Low,3Max Organizer Strips,Office Supplies,Small Box,Regular Air,2014-10-15,3.40,5.40,2.00,42,147,1%,14.58,134.01,7.78,144
5024-1,2013-02-18,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,NSW,Corporate,Phoebe Gour,Medium,Multimedia Mailers,Office Supplies,Small Box,Regular Air,2013-02-20,99.39,162.93,63.54,48,5214,2%,469.24,4744.52,19.99,4765
5024-1,2013-12-09,Dan Campbell,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Consumer,Leighton Forrest,High,Multimedia Mailers,Technology,Small Box,Express Air,2013-12-09,99.39,162.93,63.54,40,4100,3%,419.00,4795.52,19.99,4593
5024-1,2014-09-02,Vivek Sundaresam,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Consumer,Tina Carlton,Low,Smiths SlimLine Pencil Sharpener,Office Supplies,Wrap Bag,Express Air,2014-09-04,4.79,11.97,7.18,41,242,5%,14.24,230.51,5.81,234
5024-1,2014-02-25,Bebby Elias,"506 Swan Street,Richmond",Melbourne,VIC,Consumer,Connor Betts,High,"DrawIt Colored Pencils, 48-Color Set",Office Supplies,Small Box,Regular Air,2014-02-26,21.56,36.55,14.99,22,85,10%,6.82,78.46,13.89,79
5024-1,2013-02-18,Sean Wendt,"155 Ramsay St,Haberfield",Sydney,NSW,Corporate,Phoebe Gour,Critical,Multimedia Mailers,Office Supplies,Small Box,Express Air,2013-02-20,99.39,162.93,63.54,47,5214,9%,469.24,4744.52,19.99,4765
5024-1,2013-02-18,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,NSW,Consumer,Phoebe Gour,High,Multimedia Mailers,Office Supplies,Small Box,Express Air,2013-02-20,99.39,162.93,63.54,50,5214,7%,469.24,4744.52,19.99,4765
5024-1,2015-02-18,Sandra Glassco,"224A Gertrude St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Critical,Artisan Binder Labels,Technology,Medium Box,Regular Air,2015-02-21,2.45,3.89,1.44,8,66,9%,3.96,62.38,7.01,69
5025-1,2015-06-08,Jack OBriant,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Corporate,Mihael Khan,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,2015-06-09,1.09,1.68,0.59,1,55,0%,2.22,53.22,1.00,54
5025-1,2013-02-20,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,2013-02-22,1.09,1.68,0.59,34,55,10%,2.22,53.22,1.00,54
5025-1,2013-02-20,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Small Business,Phoebe Gour,Not Specified,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Regular Air,2013-02-22,1.09,1.68,0.59,18,55,8%,2.22,53.22,1.00,54
5025-1,2015-07-23,Magdelene Morse,"53 Riley Street,Woolloomooloo",Sydney,NSW,Corporate,Tina Carlton,Not Specified,TechSavi Cordless Elite Duo,Office Supplies,Small Box,Regular Air,2015-07-30,60.59,100.98,40.39,14,4534,10%,66.80,4343.52,7.18,4372
5025-1,2013-02-20,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Home Office,Phoebe Gour,High,Pizazz Dustless Chalk Sticks,Office Supplies,Wrap Bag,Regular Air,2013-02-22,1.09,1.68,0.59,29,55,3%,2.22,53.22,1.00,54
5025-1,2013-02-20,Giulietta Dortch,"180 High Street,Windsor",Melbourne,VIC,Corporate,Connor Betts,Critical,Pizazz Dustless Chalk Sticks,Office Supplies,Small Box,Express Air,2013-02-22,1.09,1.68,0.59,39,55,7%,2.22,53.22,1.00,54
5025-1,2013-08-17,Valerie Dominguez,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Home Office,Tina Carlton,High,1726 Digital Answering Machine,Office Supplies,Wrap Bag,Regular Air,2013-08-17,8.82,20.99,12.17,16,49,2%,3.96,48.66,4.81,45
5025-1,2013-10-03,Eric Barreto,"359 Crown Street,Surry Hills",Sydney,NSW,Corporate,Phoebe Gour,Critical,"Alto Parchment Paper, Assorted Colors",Office Supplies,Small Box,Regular Air,2013-10-04,4.59,7.28,2.69,19,534,4%,36.53,428.51,11.15,331
5025-1,2014-09-12,Gary Hansen,"273 George Street,Sydney",Sydney,NSW,Consumer,Leighton Forrest,Low,UGen Ultra Professional Cordless Optical Suite,Technology,Jumbo Drum,Delivery Truck,2014-09-19,156.50,300.97,144.47,4,4760,6%,39.30,4733.52,7.18,4741
5025-1,2014-07-30,Denny Joy,"99 Lygon Street,East Brunswick",Melbourne,VIC,Consumer,Connor Betts,Not Specified,Smiths General Use 3-Ring Binders,Technology,Small Box,Regular Air,2014-08-01,1.18,1.88,0.70,39,36,9%,3.51,34.53,1.49,35
5026-1,2013-05-21,Kelly Lampkin,"310 Wattle St,Ultimo",Sydney,NSW,Corporate,Aanya Zhang,Medium,Binder Clips by OIC,Technology,Small Pack,Regular Air,2013-05-23,0.93,1.48,0.55,16,25,0%,2.56,22.60,0.70,24
5026-1,2013-05-31,Raymond Fair,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,High,Artisan 479 Labels,Office Supplies,Wrap Bag,Express Air,2013-06-02,1.59,2.61,1.02,41,23,5%,1.61,22.29,0.50,23
5027-1,2013-07-29,Nick Zandusky,"224A Gertrude St,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Low,Artisan Binder Labels,Technology,Small Box,Regular Air,2013-07-30,2.45,3.89,1.44,29,542,4%,41.26,425.70,7.01,431
5027-1,2014-01-13,Ashley Jarboe,"180 High Street,Windsor",Melbourne,VIC,Small Business,Connor Betts,High,Artisan 479 Labels,Office Supplies,Small Box,Regular Air,2014-01-18,1.59,2.61,1.02,45,127,6%,12.72,122.76,0.50,123
5027-1,2013-10-25,Dan Campbell,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Consumer,Leighton Forrest,Medium,Apex Straight Scissors,Technology,Large Box,Regular Air,2013-10-27,5.19,12.98,7.79,10,531,1%,43.56,514.48,3.14,523
5027-1,2013-10-13,Sylvia Foulston,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Small Business,Tina Carlton,High,Emerson Stylus 1520 Color Inkjet Printer,Office Supplies,Wrap Bag,Regular Air,2013-10-13,75.00,120.97,45.97,31,930,6%,76.80,825.36,26.30,745
5027-1,2016-01-19,Tamara Willingham,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,Phoebe Gour,Not Specified,TechSavi Access Keyboard,Office Supplies,Small Pack,Regular Air,2016-01-19,10.07,15.98,5.91,4,799,2%,59.92,770.46,4.00,785
5027-1,2013-07-22,Edward Becker,"501 George St,Sydney",Sydney,NSW,Corporate,Samantha Chairs,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Pack,Regular Air,2013-07-26,156.50,300.97,144.47,9,5800,7%,264.99,5579.53,7.18,5550
5027-1,2013-02-22,Bill Donatelli,"359 Crown Street,Surry Hills",Sydney,NSW,Home Office,Phoebe Gour,Low,"TypeRight  Top-Opening Peel & Seel  Envelopes, Gray",Office Supplies,Small Box,Regular Air,2013-02-28,21.56,35.94,14.38,11,724,1%,50.67,673.17,6.66,693
5028-1,2015-06-19,Fredhen Memon,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Corporate,Mihael Khan,Medium,Artisan Hi-Liter Smear-Safe Highlighters,Technology,Small Box,Regular Air,2015-06-21,2.98,5.84,2.86,7,34,1%,2.24,30.66,0.83,34
5028-1,2013-10-09,Frank Merwin,"260 Marrickville Rd,Marrickville",Sydney,NSW,Corporate,Nicholas Fernandes,Not Specified,Artisan 474 Labels,Furniture,Large Box,Regular Air,2013-10-11,1.84,2.88,1.04,17,27,0%,0.17,26.53,0.99,26
5029-1,2013-02-23,Giulietta Weimer,"48 Albion St,Surry Hills",Sydney,NSW,Home Office,Natasha Song,Medium,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Pack,Regular Air,2013-02-23,5.33,8.60,3.27,22,413,7%,0.00,412.80,6.19,419
5029-1,2014-06-02,Arthur Gainer,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,High,Artisan 479 Labels,Technology,Medium Box,Regular Air,2014-06-04,1.59,2.61,1.02,7,210,3%,0.00,209.90,0.50,215
5029-1,2013-02-23,Giulietta Weimer,"48 Albion St,Surry Hills",Sydney,NSW,Corporate,Natasha Song,High,Artisan Printable Repositionable Plastic Tabs,Technology,Jumbo Drum,Delivery Truck,2013-02-23,5.33,8.60,3.27,13,413,4%,0.00,412.80,6.19,419
5029-1,2015-11-12,Michael Oakman,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Corporate,Connor Betts,Not Specified,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Wrap Bag,Regular Air,2015-11-14,54.29,90.48,36.19,40,4564,10%,377.64,4113.59,19.99,4194
5029-1,2013-05-20,Christy Brittain,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Corporate,Mihael Khan,Low,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Small Box,Regular Air,2013-05-22,5.33,8.60,3.27,19,413,10%,0.00,412.80,6.19,419
5032-1,2013-11-18,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Home Office,Nicholas Fernandes,Critical,"TypeRight  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Small Box,Regular Air,2013-11-20,16.85,27.18,10.33,32,632,6%,68.76,663.38,8.23,690
5032-1,2013-12-16,Henry Goldwyn,"541 Church St,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2013-12-19,1.84,2.88,1.04,22,128,1%,10.16,122.66,0.99,123
5033-1,2013-02-25,Katherine Ducich,"61A Bay Road,Wollstonecraft",Sydney,NSW,Small Business,Samantha Chairs,High,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Small Box,Regular Air,2013-02-27,54.29,90.48,36.19,42,271,5%,8.14,263.30,19.99,283
5034-1,2013-06-05,Deborah Brumfield,"501 George St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,Medium,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2013-06-05,1.84,2.88,1.04,32,202,5%,8.00,193.54,0.99,199
5034-1,2015-08-10,Nora Price,"7 Khartoum Rd,Macquarie Park",Sydney,NSW,Small Business,Preston Senome,Medium,Ames Color-File Green Diamond Border X-ray Mailers,Technology,Small Box,Express Air,2015-08-13,52.07,83.98,31.91,22,2752,7%,188.46,2668.30,5.01,2692
5034-1,2014-09-23,Grant Thornton,"98 Holdsworth Street,Woollahra",Sydney,NSW,Small Business,Natasha Song,Critical,Artisan 474 Labels,Technology,Small Box,Regular Air,2014-09-25,1.84,2.88,1.04,45,69,8%,0.60,68.96,0.99,73
5034-1,2013-05-09,Thea Hudgings,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Small Business,Connor Betts,Medium,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,2013-05-11,3.32,5.18,1.86,37,91,1%,7.30,88.96,2.04,80
5034-1,2013-05-13,Alex Russell,"99 Lygon Street,East Brunswick",Melbourne,VIC,Home Office,Connor Betts,High,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,2013-05-15,3.32,5.18,1.86,35,76,3%,6.80,59.66,2.04,70
5034-1,2013-02-20,Rick Reed,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Home Office,Phoebe Gour,High,Apex Straight Scissors,Office Supplies,Wrap Bag,Regular Air,2013-02-22,5.19,12.98,7.79,16,225,10%,2.24,221.20,3.14,234
5035-1,2013-04-30,Pamela Stobb,"273 George Street,Sydney",Sydney,NSW,Consumer,Leighton Forrest,Low,HFX LaserJet 3310 Copier,Technology,Small Box,Regular Air,2013-05-02,377.99,599.99,222.00,35,2066,5%,54.07,2759.75,24.49,2761
5036-1,2013-03-07,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,OIC Thumb-Tacks,Office Supplies,Small Box,Express Air,2013-03-10,0.71,1.14,0.43,14,57,2%,3.42,53.58,0.70,54
5036-1,2013-03-07,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,OIC Thumb-Tacks,Furniture,Large Box,Express Air,2013-03-10,0.71,1.14,0.43,14,57,0%,3.42,53.58,0.70,54
5037-1,2013-03-11,Art Foster,"Westfield Parramatta,Parramatta",Sydney,NSW,Consumer,Stevie Bacata,High,Apex Elite Stainless Steel Scissors,Furniture,Small Pack,Regular Air,2013-03-13,3.42,8.34,4.92,32,133,8%,4.00,129.44,2.64,132
5037-1,2013-06-29,Adam Bellavance,"106 Ebley Street,Bondi Junction",Sydney,NSW,Home Office,Leighton Forrest,Not Specified,Apex Elite Stainless Steel Scissors,Office Supplies,Small Box,Regular Air,2013-07-01,3.42,8.34,4.92,11,133,7%,4.00,129.44,2.64,132
5037-1,2013-07-04,Sara Luxemburg,"103 Bins Street,Nindsor",Sydney,NSW,Home Office,Charlie Bui,Critical,Smiths SlimLine Pencil Sharpener,Office Supplies,Wrap Bag,Regular Air,2013-07-05,4.79,11.97,7.18,10,246,10%,27.26,222.10,5.81,243
5037-1,2013-03-11,Art Foster,"Westfield Parramatta,Parramatta",Sydney,NSW,Small Business,Stevie Bacata,High,Apex Preferred Stainless Steel Scissors,Office Supplies,Wrap Bag,Express Air,2013-03-13,2.50,5.68,3.18,50,133,9%,4.00,129.44,3.60,132
5038-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,Smiths Standard Envelopes,Technology,Small Box,Regular Air,2013-03-20,3.52,5.68,2.16,34,139,2%,9.68,128.54,1.39,129
5039-1,2013-03-15,Michael Grace,"402 Argyle St,Moss Vale",Sydney,NSW,Small Business,Natasha Song,Low,"Alto Parchment Paper, Assorted Colors",Office Supplies,Wrap Bag,Express Air,2013-03-16,4.59,7.28,2.69,37,160,4%,1.60,158.56,11.15,170
5039-1,2013-05-31,Rick Duston,"144 Biutee Rd,Marrickville",Sydney,NSW,Consumer,Charlie Bui,High,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,2013-05-31,1.84,2.88,1.04,42,131,0%,10.56,121.02,0.99,123
5039-1,2014-08-07,John Lucas,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,Critical,"Alto Parchment Paper, Assorted Colors",Furniture,Large Box,Regular Air,2014-08-09,4.59,7.28,2.69,44,187,8%,1.68,168.06,11.15,170
5040-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Consumer,Tina Carlton,High,"Steady Colorific Colored Pencils, 12/Box",Technology,Large Box,Regular Air,2013-03-20,1.30,2.88,1.58,46,138,7%,9.68,128.56,1.01,130
5040-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Corporate,Tina Carlton,Critical,"Steady Colorific Colored Pencils, 12/Box",Technology,Small Box,Express Air,2013-03-20,1.30,2.88,1.58,8,138,5%,9.68,128.56,1.01,130
5040-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,"Steady Colorific Colored Pencils, 12/Box",Office Supplies,Small Box,Regular Air,2013-03-20,1.30,2.88,1.58,22,138,2%,9.68,128.56,1.01,130
5040-1,2013-03-16,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Consumer,Tina Carlton,High,"Steady Colorific Colored Pencils, 12/Box",Technology,Small Pack,Express Air,2013-03-20,1.30,2.88,1.58,32,138,8%,9.68,128.56,1.01,130
5041-1,2015-10-20,Eva Jacobs,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Small Business,Nicholas Fernandes,Medium,Artisan Hi-Liter Smear-Safe Highlighters,Office Supplies,Small Box,Regular Air,2015-10-24,2.98,5.84,2.86,48,7,8%,0.63,7.64,0.83,11
5042-1,2013-04-30,Pamela Stobb,"273 George Street,Sydney",Sydney,NSW,Small Business,Leighton Forrest,Not Specified,Apex Straight Scissors,Office Supplies,Small Pack,Express Air,2013-05-02,5.19,12.98,7.79,49,623,4%,56.09,567.13,3.14,571
5042-1,2013-06-25,Karl Brown,"470 Anzac Parade,Kingsford",Sydney,NSW,Home Office,Tina Carlton,High,Alto Memo Cubes,Office Supplies,Small Box,Regular Air,2013-05-26,3.32,5.18,1.86,30,130,9%,3.01,128.43,2.04,129
5042-1,2013-03-23,Aaron Smayling,"1737 Botany Rd,Banksmeadow",Sydney,NSW,Small Business,Nicholas Fernandes,High,Assorted Color Push Pins,Office Supplies,Small Box,Regular Air,2013-03-26,0.87,1.81,0.94,30,61,3%,2.34,58.66,0.75,62
5043-1,2015-04-18,Philip Brown,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Artisan 487 Labels,Furniture,Small Pack,Express Air,2015-04-19,2.29,3.69,1.40,7,145,1%,14.87,147.65,0.50,158
5046-1,2015-01-11,Katherine Nockton,"Crown Complex,Southbank",Melbourne,VIC,Consumer,Connor Betts,Critical,"Smiths Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",Office Supplies,Small Box,Regular Air,2015-01-12,3.88,6.47,2.59,34,114,3%,7.95,110.05,1.22,120
5047-1,2015-04-19,Thais Sissman,"53-55 Liverpool St,Sydney",Sydney,NSW,Small Business,Tina Carlton,High,Artisan Poly Binder Pockets,Technology,Small Pack,Regular Air,2015-04-19,2.26,3.58,1.32,11,131,2%,6.33,112.43,5.47,119
5047-1,2015-05-01,Chad McGuire,"81 MacLeay St,Potts Point",Sydney,NSW,Home Office,Samantha Chairs,Low,Artisan Premier Heavy-Duty Binder with Round Locking Rings,Office Supplies,Small Box,Regular Air,2015-05-02,8.71,14.28,5.57,32,335,10%,33.53,303.24,2.99,321
5047-1,2015-03-16,Candos Bawlak,"6 Mary St,Newtown",Sydney,NSW,Home Office,Samantha Chairs,Critical,Artisan 487 Labels,Office Supplies,Small Pack,Regular Air,2015-03-16,2.29,3.69,1.40,50,216,8%,12.78,113.07,0.50,130
5047-1,2014-10-04,Patrick OBrill,"53 Riley Street,Woolloomooloo",Sydney,NSW,Small Business,Tina Carlton,Critical,"Artisan Flip-Chart Easel Binder, Black",Office Supplies,Small Box,Regular Air,2014-10-06,13.88,22.38,8.50,6,471,3%,0.00,470.84,15.10,485
5048-1,2013-05-26,Denny Ordway,"531 King St,Newtown",Sydney,NSW,Home Office,Mihael Khan,Not Specified,Smiths Standard Envelopes,Technology,Large Box,Regular Air,2013-05-26,3.52,5.68,2.16,29,136,0%,9.05,128.14,1.39,130
5048-1,2014-09-22,Magdelene Mosse,"53 Riley Street,Woolloomooloo",Sydney,NSW,Corporate,Tina Carlton,Low,Smiths General Use 3-Ring Binders,Office Supplies,Wrap Bag,Regular Air,2014-09-22,1.18,1.88,0.70,34,41,3%,3.30,38.94,1.49,41
5048-1,2013-06-15,Scott Cohen,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Home Office,Connor Betts,Not Specified,Smiths Standard Envelopes,Office Supplies,Wrap Bag,Regular Air,2013-06-17,3.52,5.68,2.16,39,139,8%,9.00,128.02,1.39,130
